date,location,hits,keyword,geo,gprop
2020-01-01 2020-02-01,Buryatia,,навальный отравление,RU,web
2020-01-01 2020-02-01,Chechnya,,навальный отравление,RU,web
2020-01-01 2020-02-01,Chelyabinsk Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Chukotka Autonomous Okrug,,навальный отравление,RU,web
2020-01-01 2020-02-01,Chuvashia Republic,,навальный отравление,RU,web
2020-01-01 2020-02-01,Dagestan Republic,,навальный отравление,RU,web
2020-01-01 2020-02-01,Ingushetia,,навальный отравление,RU,web
2020-01-01 2020-02-01,Irkutsk Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Ivanovo Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Kamchatka Krai,,навальный отравление,RU,web
2020-01-01 2020-02-01,Kabardino-Balkaria,,навальный отравление,RU,web
2020-01-01 2020-02-01,Karachay-Cherkessia,,навальный отравление,RU,web
2020-01-01 2020-02-01,Krasnodar Krai,,навальный отравление,RU,web
2020-01-01 2020-02-01,Kemerovo Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Kaliningrad Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Kurgan Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Khabarovsk Krai,,навальный отравление,RU,web
2020-01-01 2020-02-01,Khanty-Mansi Autonomous Okrug,,навальный отравление,RU,web
2020-01-01 2020-02-01,Kirov Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Republic of Khakassia,,навальный отравление,RU,web
2020-01-01 2020-02-01,Kalmykia,,навальный отравление,RU,web
2020-01-01 2020-02-01,Kaluga Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Komi Republic,,навальный отравление,RU,web
2020-01-01 2020-02-01,Kostroma Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Republic of Karelia,,навальный отравление,RU,web
2020-01-01 2020-02-01,Kursk Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Krasnoyarsk Krai,,навальный отравление,RU,web
2020-01-01 2020-02-01,Leningrad Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Lipetsk Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Magadan Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Mari El Republic,,навальный отравление,RU,web
2020-01-01 2020-02-01,Mordovia,,навальный отравление,RU,web
2020-01-01 2020-02-01,Moscow Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Moscow,,навальный отравление,RU,web
2020-01-01 2020-02-01,Murmansk Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Nenets Autonomous Okrug,,навальный отравление,RU,web
2020-01-01 2020-02-01,Novgorod Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Nizhny Novgorod Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Novosibirsk Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Omsk Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Orenburg Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Oryol Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Perm Krai,,навальный отравление,RU,web
2020-01-01 2020-02-01,Penza Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Primorsky Krai,,навальный отравление,RU,web
2020-01-01 2020-02-01,Pskov Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Rostov Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Ryazan Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Sakha Republic,,навальный отравление,RU,web
2020-01-01 2020-02-01,Sakhalin Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Samara Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Saratov Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,North Ossetia–Alania,,навальный отравление,RU,web
2020-01-01 2020-02-01,Smolensk Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Saint Petersburg,,навальный отравление,RU,web
2020-01-01 2020-02-01,Stavropol Krai,,навальный отравление,RU,web
2020-01-01 2020-02-01,Sverdlovsk Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Tatarstan,,навальный отравление,RU,web
2020-01-01 2020-02-01,Tambov Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Tomsk Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Tula Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Tver Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Tuva,,навальный отравление,RU,web
2020-01-01 2020-02-01,Tyumen Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Udmurt Republic,,навальный отравление,RU,web
2020-01-01 2020-02-01,Ulyanovsk Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Volgograd Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Vladimir Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Vologda Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Voronezh Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Yamalo-Nenets Autonomous Okrug,,навальный отравление,RU,web
2020-01-01 2020-02-01,Yaroslavl Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Jewish Autonomous Oblast,,навальный отравление,RU,web
2020-01-01 2020-02-01,Zabaykalsky Krai,,навальный отравление,RU,web
2020-02-01 2020-03-01,Adygea,,навальный отравление,RU,web
2020-02-01 2020-03-01,Altai Republic,,навальный отравление,RU,web
2020-02-01 2020-03-01,Altai Krai,,навальный отравление,RU,web
2020-02-01 2020-03-01,Amur Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Arkhangelsk Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Astrakhan Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Republic of Bashkortostan,,навальный отравление,RU,web
2020-02-01 2020-03-01,Belgorod Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Bryansk Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Buryatia,,навальный отравление,RU,web
2020-02-01 2020-03-01,Chechnya,,навальный отравление,RU,web
2020-02-01 2020-03-01,Chelyabinsk Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Chukotka Autonomous Okrug,,навальный отравление,RU,web
2020-02-01 2020-03-01,Chuvashia Republic,,навальный отравление,RU,web
2020-02-01 2020-03-01,Dagestan Republic,,навальный отравление,RU,web
2020-02-01 2020-03-01,Ingushetia,,навальный отравление,RU,web
2020-02-01 2020-03-01,Irkutsk Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Ivanovo Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Kamchatka Krai,,навальный отравление,RU,web
2020-02-01 2020-03-01,Kabardino-Balkaria,,навальный отравление,RU,web
2020-02-01 2020-03-01,Karachay-Cherkessia,,навальный отравление,RU,web
2020-02-01 2020-03-01,Krasnodar Krai,,навальный отравление,RU,web
2020-02-01 2020-03-01,Kemerovo Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Kaliningrad Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Kurgan Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Khabarovsk Krai,,навальный отравление,RU,web
2020-02-01 2020-03-01,Khanty-Mansi Autonomous Okrug,,навальный отравление,RU,web
2020-02-01 2020-03-01,Kirov Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Republic of Khakassia,,навальный отравление,RU,web
2020-02-01 2020-03-01,Kalmykia,,навальный отравление,RU,web
2020-02-01 2020-03-01,Kaluga Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Komi Republic,,навальный отравление,RU,web
2020-02-01 2020-03-01,Kostroma Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Republic of Karelia,,навальный отравление,RU,web
2020-02-01 2020-03-01,Kursk Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Krasnoyarsk Krai,,навальный отравление,RU,web
2020-02-01 2020-03-01,Leningrad Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Lipetsk Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Magadan Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Mari El Republic,,навальный отравление,RU,web
2020-02-01 2020-03-01,Mordovia,,навальный отравление,RU,web
2020-02-01 2020-03-01,Moscow Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Moscow,,навальный отравление,RU,web
2020-02-01 2020-03-01,Murmansk Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Nenets Autonomous Okrug,,навальный отравление,RU,web
2020-02-01 2020-03-01,Novgorod Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Nizhny Novgorod Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Novosibirsk Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Omsk Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Orenburg Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Oryol Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Perm Krai,,навальный отравление,RU,web
2020-02-01 2020-03-01,Penza Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Primorsky Krai,,навальный отравление,RU,web
2020-02-01 2020-03-01,Pskov Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Rostov Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Ryazan Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Sakha Republic,,навальный отравление,RU,web
2020-02-01 2020-03-01,Sakhalin Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Samara Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Saratov Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,North Ossetia–Alania,,навальный отравление,RU,web
2020-02-01 2020-03-01,Smolensk Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Saint Petersburg,,навальный отравление,RU,web
2020-02-01 2020-03-01,Stavropol Krai,,навальный отравление,RU,web
2020-02-01 2020-03-01,Sverdlovsk Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Tatarstan,,навальный отравление,RU,web
2020-02-01 2020-03-01,Tambov Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Tomsk Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Tula Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Tver Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Tuva,,навальный отравление,RU,web
2020-02-01 2020-03-01,Tyumen Oblast,,навальный отравление,RU,web
2020-02-01 2020-03-01,Udmurt Republic,,навальный отравление,RU,web
